year,ref_number,utm_easting,utm_northing,num_vehicles,num_casualties,accident_date,time,time_mins,first_road_class,road_surface,lighting_conditions,weather_conditions,casualty_class,casualty_severity,casualty_sex,casualty_age,vehicle_type
2012,120416002,429593,434708,2,4,9/25/12,2345,1425,3,Wet / Damp,Darkness: street lights present and lit,Raining with high winds,Driver or rider,Slight,Male,32,8
2012,120416002,429593,434708,2,4,9/25/12,2345,1425,3,Wet / Damp,Darkness: street lights present and lit,Raining with high winds,Vehicle or pillion passenger,Slight,Female,18,8
2012,120416002,429593,434708,2,4,9/25/12,2345,1425,3,Wet / Damp,Darkness: street lights present and lit,Raining with high winds,Vehicle or pillion passenger,Slight,Male,18,8
2010,10CA0002735,425796,428120,2,1,4/14/10,2344,1424,3,Dry,Darkness: street lights present and lit,Fine without high winds,Driver or rider,Serious,Male,30,3
2010,10BA0004124,429038,438550,3,1,6/05/10,2344,1424,3,Dry,Darkness: street lights present and lit,Fine without high winds,Driver or rider,Slight,Male,50,9
2011,110432276,428634,434186,2,1,9/19/11,2343,1423,6,Dry,Darkness: street lights present and lit,Fine without high winds,Driver or rider,Slight,Male,54,8
2011,110472428,426520,427468,2,1,10/14/11,2343,1423,6,Dry,Darkness: street lights present and lit,Fine without high winds,Driver or rider,Slight,Male,53,9
2009,534409,430072,433934,2,1,7/03/09,2340,1420,6,Dry,Darkness: street lights present and lit,Fine without high winds,Driver or rider,Slight,Male,26,1
2009,619309,427489,438602,1,2,7/31/09,2340,1420,3,Dry,Darkness: street lighting unknown,Fine without high winds,Driver or rider,Slight,Female,19,9
2009,619309,427489,438602,1,2,7/31/09,2340,1420,3,Dry,Darkness: street lighting unknown,Fine without high winds,Vehicle or pillion passenger,Slight,Male,17,9
2009,813409,426404,433964,2,1,10/03/09,2340,1420,3,Dry,Darkness: street lights present and lit,Fine without high winds,Driver or rider,Slight,Female,25,9
2010,10BA0001602,431084,434205,2,1,3/02/10,2340,1420,6,Dry,Darkness: street lights present and lit,Fine without high winds,Driver or rider,Slight,Female,21,9
2010,10MU0006277,433299,429642,1,2,9/27/10,2340,1420,1,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver or rider,Serious,Female,42,9
2010,10MU0006277,433299,429642,1,2,9/27/10,2340,1420,1,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Vehicle or pillion passenger,Slight,Male,54,9
2010,10BA0006634,435429,439799,2,3,10/23/10,2340,1420,3,Dry,Darkness: no street lighting,Fine without high winds,Driver or rider,Slight,Male,34,9
2010,10BA0006634,435429,439799,2,3,10/23/10,2340,1420,3,Dry,Darkness: no street lighting,Fine without high winds,Driver or rider,Slight,Male,45,9
2010,10BA0006634,435429,439799,2,3,10/23/10,2340,1420,3,Dry,Darkness: no street lighting,Fine without high winds,Vehicle or pillion passenger,Slight,Male,40,9
2010,10CA0533706,429353,433753,2,1,12/11/10,2340,1420,3,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Slight,Male,37,8
2011,110126342,431492,434243,1,1,3/17/11,2340,1420,6,Dry,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Slight,Male,26,9
2011,110165050,433932,434041,1,1,4/08/11,2340,1420,3,Dry,Darkness: street lights present and lit,Fine without high winds,Driver or rider,Slight,Male,19,9
2012,120144505,429911,433795,2,1,3/30/12,2340,1420,6,Dry,Darkness: street lights present and lit,Fine without high winds,Driver or rider,Slight,Male,56,11
2013,130113708,434397,429264,1,2,3/15/13,2340,1420,3,Dry,Darkness: street lighting unknown,Fine without high winds,Pedestrian,Serious,Male,44,9
2013,130113708,434397,429264,1,2,3/15/13,2340,1420,3,Dry,Darkness: street lighting unknown,Fine without high winds,Driver or rider,Slight,Male,41,9
2013,130309437,425940,437263,1,1,7/01/13,2340,1420,6,Dry,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Slight,Male,33,90
2009,442309,428912,434797,1,1,6/03/09,2339,1419,6,Dry,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Slight,Male,22,9
2009,816309,428954,433664,2,1,9/20/09,2338,1418,3,Dry,Darkness: street lights present and lit,Fine without high winds,Driver or rider,Slight,Male,23,9
2010,10CA0004122,431517,430022,2,4,6/05/10,2338,1418,6,Dry,Darkness: street lights present and lit,Fine without high winds,Driver or rider,Slight,Male,38,8
2010,10CA0004122,431517,430022,2,4,6/05/10,2338,1418,6,Dry,Darkness: street lights present and lit,Fine without high winds,Vehicle or pillion passenger,Slight,Male,55,8
2010,10CA0004122,431517,430022,2,4,6/05/10,2338,1418,6,Dry,Darkness: street lights present and lit,Fine without high winds,Vehicle or pillion passenger,Slight,Female,59,8
2010,10CA0004122,431517,430022,2,4,6/05/10,2338,1418,6,Dry,Darkness: street lights present and lit,Fine without high winds,Vehicle or pillion passenger,Slight,Male,59,8
2012,120273479,427116,435022,3,2,6/23/12,2338,1418,6,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Driver or rider,Fatal,Male,49,8
2012,120273479,427116,435022,3,2,6/23/12,2338,1418,6,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Vehicle or pillion passenger,Slight,Male,23,9
2009,601109,428367,432497,2,1,7/24/09,2336,1416,3,Dry,Darkness: street lights present and lit,Fine without high winds,Vehicle or pillion passenger,Slight,Male,19,9
2010,10MU0001832,432311,426789,1,1,3/07/10,2336,1416,1,Dry,Darkness: street lights present and lit,Fine without high winds,Vehicle or pillion passenger,Slight,Male,23,9
2009,2609,434723,435534,1,1,1/02/09,2335,1415,6,Dry,Darkness: street lights present and lit,Fine without high winds,Driver or rider,Serious,Female,23,9
2010,10BA0000761,432573,433795,1,1,2/02/10,2335,1415,3,Frost / Ice,Darkness: street lights present and lit,Fine without high winds,Driver or rider,Slight,Male,18,1
2010,10AA0526391,425572,433059,1,1,12/09/10,2335,1415,6,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver or rider,Slight,Male,20,9
2011,110289184,425172,434326,1,4,6/24/11,2335,1415,3,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Driver or rider,Slight,Male,24,9
